id,number_of_reviews,last_review,reviews_per_month,calculated_host_listings_count,,
16338,27,2017-09-30,0.23,2,,
16421,191,2019-05-16,1.65,1,,
16458,4,2017-09-24,0.16,1,,
16580,338,2019-07-01,4.72,2,,
16595,148,2019-06-23,1.4,1,,
16821,106,2019-06-21,1.26,2,,
16974,190,2019-06-23,1.64,1,,
17037,49,2018-05-14,0.43,1,,
17092,23,2019-06-01,0.43,1,,
17693,49,2019-06-18,1.6,2,,
17747,105,2019-06-26,0.92,1,,
18127,21,2019-01-02,0.2,1,,
18152,142,2019-07-06,1.5,1,,
18198,25,2019-05-31,0.22,1,,
18590,143,2019-06-16,1.28,1,,
18728,167,2019-05-28,1.65,1,,
18764,61,2019-04-22,0.54,4,,
19159,54,2019-03-23,0.49,1,,
19169,70,2019-06-30,0.62,1,,
19282,16,2019-06-15,0.15,1,,
19319,94,2019-04-08,0.84,1,,
19601,25,2016-08-04,0.24,1,,
19812,61,2018-08-09,0.53,1,,
20299,194,2019-06-30,1.73,1,,
20300,2,2016-02-14,0.05,1,,
20611,174,2019-06-22,1.54,4,,
20724,24,2019-05-26,0.28,1,,
20734,166,2019-06-27,3.4,1,,
20755,16,2019-05-31,0.2,6,,
20853,21,2019-05-21,0.3,1,,
20913,168,2018-07-22,1.57,1,,
21293,118,2019-06-18,1.05,2,,
21456,81,2019-07-07,0.71,1,,
21644,1,2018-10-09,0.11,1,,
21794,30,2019-05-01,0.27,2,,
22911,139,2018-10-28,1.23,2,,
22918,11,2019-01-03,0.87,3,,
23135,233,2019-06-24,2.09,3,,
23501,68,2012-11-01,0.6,1,,
23686,46,2019-05-18,0.55,2,,
24143,335,2019-05-29,3.02,1,,
24285,88,2018-11-02,0.79,1,,
25235,162,2019-06-28,1.46,2,,
25406,29,2018-05-26,0.4,1,,
25696,170,2019-06-23,1.61,1,,
26012,19,2017-03-17,0.2,1,,
26362,334,2019-06-16,3,2,,
26520,19,2019-06-02,0.2,6,,
26559,12,2017-12-11,0.13,1,,
26785,467,2018-12-30,4.22,2,,
26933,7,2017-08-09,0.06,4,,
26954,38,2015-12-02,0.38,1,,
26969,324,2019-06-23,3.01,1,,
27006,27,2019-04-27,0.27,1,,
27385,115,2019-06-07,1.05,4,,
27531,354,2019-05-20,3.2,3,,
27644,195,2019-07-01,2.03,1,,
27659,16,2018-12-30,0.24,2,,
27759,13,2019-06-26,0.12,1,,
27883,25,2011-12-10,0.23,1,,
28321,9,2018-10-05,0.08,1,,
28396,9,2011-09-18,0.08,1,,
28907,21,2017-08-15,0.19,1,,
29012,36,2017-08-17,0.33,1,,
29013,63,2019-05-14,0.58,2,,
29455,155,2019-06-20,1.42,3,,
29628,260,2019-07-03,2.35,1,,
29683,73,2019-06-25,0.66,1,,
30031,193,2019-05-20,1.86,1,,
30927,32,2019-06-14,0.29,1,,
31130,50,2019-05-26,0.45,3,,
31555,26,2019-07-01,0.25,1,,
31902,2,2019-01-01,0.02,1,,
31994,426,2019-06-24,3.89,3,,
32023,227,2019-06-23,2.09,2,,
32037,84,2019-07-01,0.77,3,,
32100,3,2017-07-30,0.03,1,,
32289,10,2018-06-11,0.1,1,,
32331,4,2016-04-24,0.04,1,,
32363,1,2011-09-19,0.01,1,,
32965,124,2019-06-20,1.72,2,,
32969,11,2019-07-02,0.11,1,,
33009,240,2019-06-17,2.19,1,,
33014,30,2019-06-17,0.28,1,,
33223,200,2019-06-22,1.86,4,,
34760,27,2019-06-29,1.05,5,,
35526,79,2019-06-22,0.74,1,,
36121,9,2013-05-10,0.09,1,,
36133,155,2019-06-13,1.61,1,,
36442,4,2018-08-27,0.05,1,,
36647,34,2017-05-29,0.32,1,,
36703,134,2019-03-31,1.24,1,,
36934,27,2018-12-27,0.25,1,,
38638,126,2019-06-26,1.16,2,,
38663,23,2018-12-31,0.27,1,,
39267,234,2019-06-08,2.6,2,,
39282,202,2019-05-28,1.86,2,,
39593,28,2019-04-12,0.26,1,,
39704,309,2019-06-22,2.86,2,,
40039,14,2011-04-25,0.13,1,,
40453,4,2016-09-23,0.08,1,,
41348,80,2019-07-06,2.17,1,,
41513,2,2015-11-02,0.04,1,,
42580,294,2019-06-24,3.47,3,,
42729,150,2019-06-18,1.4,3,,
42882,166,2019-06-13,1.66,1,,
43957,47,2019-06-19,0.94,1,,
44096,219,2019-07-04,2.04,3,,
44161,193,2016-07-06,1.78,1,,
44212,84,2019-06-23,0.78,4,,
44221,114,2019-06-20,1.06,1,,
44229,213,2019-06-24,2,2,,
44288,86,2019-06-01,0.8,1,,
44506,80,2019-05-26,0.75,3,,
45393,38,2016-04-20,0.36,1,,
45542,18,2018-12-17,1.79,1,,
45556,206,2019-06-30,1.92,2,,
45910,10,2019-05-12,0.11,5,,
45936,122,2019-05-14,1.18,2,,
45940,33,2019-04-08,0.58,1,,
46544,52,2019-06-05,0.5,1,,
46723,126,2019-05-19,1.17,4,,
46911,51,2019-06-24,0.48,3,,
47199,199,2019-06-24,1.85,1,,
47362,30,2012-09-03,0.29,1,,
47370,3,2015-07-17,0.03,1,,
47926,41,2019-06-26,0.38,1,,
48719,109,2019-06-15,1.04,1,,
50447,151,2019-06-22,1.43,3,,
51438,0,,,2,,
51485,285,2019-06-22,2.69,1,,
51572,375,2019-06-18,3.52,1,,
51850,52,2019-05-20,0.49,2,,
53137,10,2019-07-01,1.01,1,,
53196,11,2017-11-13,0.48,1,,
53469,33,2015-05-09,0.31,5,,
53470,6,2015-10-08,0.06,5,,
53477,38,2019-04-27,0.38,5,,
54158,358,2019-06-20,3.44,2,,
54453,10,2014-01-07,0.09,1,,
54466,0,,,1,,
54508,226,2019-06-06,2.12,3,,
54544,104,2019-06-22,1,5,,
54626,138,2019-06-30,1.45,3,,
54860,204,2019-06-23,1.92,1,,
55467,253,2019-07-02,3.04,1,,
55498,23,2019-07-01,0.22,1,,
55668,115,2018-12-05,1.17,1,,
55737,129,2019-05-19,1.22,1,,
55959,82,2019-06-10,1.13,2,,
55982,37,2018-12-31,0.35,1,,
56467,204,2019-07-01,2.04,1,,
56525,69,2019-06-13,0.65,1,,
56859,192,2019-06-03,1.84,5,,
57166,17,2019-06-17,0.16,1,,
57297,222,2019-06-24,2.12,1,,
57468,205,2019-06-23,1.96,1,,
57618,94,2019-06-09,0.96,1,,
57740,7,2019-05-24,0.07,1,,
57754,108,2019-06-30,1.09,1,,
57874,222,2019-06-26,2.1,2,,
58059,458,2019-07-03,4.58,2,,
58062,21,2019-05-17,0.26,1,,
58467,17,2019-05-08,0.3,1,,
59014,41,2019-01-02,0.39,1,,
59121,1,2012-09-17,0.01,5,,
59642,69,2019-05-19,0.67,1,,
59709,18,2019-07-01,0.18,2,,
59855,82,2016-01-05,0.78,1,,
60164,94,2019-06-23,0.99,1,,
60457,10,2019-05-11,0.1,1,,
60611,183,2018-09-29,1.83,2,,
60666,189,2019-06-11,1.82,5,,
60673,1,2018-10-07,0.11,1,,
60680,127,2019-06-20,1.22,1,,
60794,4,2017-08-25,0.04,1,,
60948,135,2019-06-20,1.3,3,,
61167,21,2015-12-12,0.2,1,,
61224,35,2017-07-27,0.34,1,,
61406,10,2019-06-01,2.21,2,,
61492,171,2019-06-23,1.8,2,,
61509,92,2019-04-30,0.9,1,,
62095,238,2019-06-14,2.3,1,,
62427,56,2019-05-26,0.58,1,,
62430,111,2019-06-22,2.13,1,,
62452,193,2019-06-25,1.85,6,,
62461,147,2019-06-10,1.44,6,,
62787,177,2019-07-02,1.71,6,,
62891,185,2019-05-24,1.78,2,,
62903,62,2019-06-21,0.7,2,,
62925,124,2019-06-16,1.22,3,,
63299,181,2019-06-23,1.77,2,,
63320,333,2019-07-02,3.19,6,,
63360,441,2019-06-24,4.5,1,,
63546,45,2019-05-16,0.46,2,,
63573,9,2016-08-29,0.09,2,,
63588,0,,,7,,
63610,38,2019-06-27,0.5,13,,
63657,248,2019-06-25,2.39,2,,
63693,143,2019-06-19,1.38,2,,
63719,36,2018-08-19,0.41,4,,
63913,0,,,2,,
64000,14,2019-01-07,0.14,4,,
64015,0,,,1,,
64107,279,2019-06-24,2.69,1,,
64277,18,2019-01-02,0.22,4,,
64314,50,2019-05-26,3.55,1,,
64365,227,2019-06-27,2.27,2,,
64707,1,2019-01-02,0.16,1,,
64837,203,2019-06-23,1.96,2,,
65019,210,2019-07-06,2.1,1,,
65268,64,2019-01-05,0.67,1,,
65556,0,,,1,,
65562,5,2019-01-03,0.15,1,,
65615,49,2019-06-29,0.48,1,,
65660,132,2019-07-07,1.27,1,,
65813,20,2019-01-02,0.26,1,,
65834,11,2013-05-02,0.11,1,,
66008,51,2019-07-01,0.57,1,,
66026,15,2019-06-30,0.15,5,,
66251,67,2019-06-25,1.31,1,,
66275,109,2019-06-23,1.11,3,,
66451,9,2019-02-16,0.11,1,,
66718,187,2019-06-23,1.87,1,,
66741,214,2019-06-23,2.08,2,,
66974,69,2019-07-01,0.79,2,,
67288,22,2019-06-15,0.26,1,,
67299,56,2019-05-06,0.56,1,,
67397,93,2019-06-22,0.93,1,,
68099,104,2019-06-25,1.05,2,,
68305,64,2018-07-06,0.68,1,,
68403,127,2019-06-24,1.25,2,,
68735,30,2019-06-13,0.32,1,,
68765,106,2019-06-27,1.34,3,,
68900,6,2016-11-13,0.1,1,,
68974,191,2019-06-20,1.88,1,,
69894,48,2019-06-11,0.55,1,,
69921,47,2019-06-29,0.49,1,,
70095,120,2019-06-30,1.27,1,,
70128,52,2019-01-10,0.63,1,,
70609,48,2019-06-16,0.48,4,,
71010,32,2019-05-24,0.43,2,,
71248,43,2019-06-17,0.42,1,,
71366,39,2019-06-25,0.44,1,,
71384,50,2014-05-13,0.5,1,,
71812,4,2019-01-02,0.35,2,,
72190,38,2019-02-15,0.39,1,,
72265,29,2019-06-16,0.36,1,,
74073,59,2019-06-23,0.6,1,,
74240,68,2019-06-07,0.67,2,,
74333,26,2015-11-25,0.27,3,,
74404,31,2012-08-22,0.31,1,,
74680,198,2019-05-31,2.01,1,,
74860,1,2011-03-28,0.01,1,,
75193,220,2019-06-22,2.17,2,,
75635,286,2019-06-27,2.81,1,,
76761,398,2019-06-28,3.97,3,,
77765,36,2019-07-01,0.36,28,,
77936,36,2019-06-14,0.36,1,,
78919,6,2016-02-05,0.1,1,,
79067,14,2019-04-20,0.3,1,,
79782,76,2019-03-31,0.76,6,,
80493,182,2019-07-04,1.81,1,,
80684,8,2016-03-27,0.09,28,,
80700,7,2019-05-24,0.07,28,,
80924,34,2018-09-25,0.51,2,,
81739,2,2011-05-12,0.02,28,,
82549,66,2016-09-16,0.68,2,,
82550,80,2019-06-30,0.85,2,,
82638,240,2019-06-06,2.4,1,,
82928,46,2019-07-02,1.07,1,,
83243,228,2019-06-10,2.27,1,,
83446,5,2018-09-03,0.05,1,,
83722,8,2018-08-26,0.11,1,,
83847,33,2019-01-02,0.33,1,,
84010,13,2019-06-27,0.14,28,,
84059,5,2018-07-22,0.05,1,,
84659,388,2019-06-26,3.88,1,,
84905,223,2019-06-23,2.22,2,,
85094,11,2019-01-14,0.11,5,,
86215,151,2019-06-24,1.51,2,,
89427,0,,,3,,
89621,218,2019-06-28,2.26,4,,
93313,75,2019-06-23,0.76,2,,
94035,42,2019-07-06,1.21,2,,
94209,0,,,1,,
94477,370,2019-07-05,3.74,1,,
94783,104,2019-06-21,1.04,1,,
95747,13,2016-07-18,0.13,1,,
95883,4,2018-12-26,0.07,1,,
96471,11,2019-06-07,0.11,3,,
98330,1,2012-01-03,0.01,3,,
98663,19,2018-06-11,0.19,1,,
99070,131,2019-05-26,1.31,2,,
99085,15,2019-05-01,0.15,1,,
100002,136,2019-06-17,1.37,1,,
100184,43,2019-07-08,0.45,1,,
100186,98,2019-06-28,0.99,1,,
101053,31,2019-03-01,0.31,1,,
102995,45,2018-01-01,0.46,1,,
103161,124,2019-06-26,1.76,1,,
103311,9,2018-05-19,0.09,28,,
103806,166,2019-05-27,1.68,2,,
105469,13,2015-09-21,0.13,1,,
105510,15,2019-01-05,0.16,5,,
106363,380,2019-06-26,3.83,2,,
106647,86,2019-06-16,0.87,1,,
107630,248,2019-06-20,2.53,3,,
107895,49,2019-06-19,0.56,1,,
110739,54,2019-07-03,0.57,1,,
112100,3,2013-01-01,0.03,1,,
112304,1,2016-01-02,0.02,1,,
112359,56,2018-12-28,0.57,1,,
112435,163,2019-05-24,1.66,2,,
113265,247,2019-06-21,2.51,2,,
113945,116,2019-05-11,1.17,1,,
114123,27,2019-05-19,0.28,2,,
114229,52,2019-06-08,0.6,3,,
114969,39,2018-09-24,0.4,1,,
115535,35,2019-06-01,0.35,1,,
115678,320,2019-06-23,3.23,1,,
115748,30,2019-06-16,0.32,1,,
116940,225,2019-06-24,2.27,4,,
117425,95,2018-05-26,0.96,1,,
118061,70,2019-06-28,0.75,1,,
118430,35,2019-01-03,0.36,1,,
118680,0,,,1,,
120362,50,2019-07-02,0.51,1,,
121687,29,2019-06-23,0.31,1,,
121861,23,2016-05-02,0.23,2,,
123784,142,2019-06-16,1.44,2,,
125053,70,2019-07-01,0.73,1,,
125163,38,2019-06-03,0.54,2,,
125594,82,2019-05-19,0.94,2,,
126443,403,2019-07-07,4.1,3,,
126816,3,2014-11-06,0.03,1,,
127387,3,2014-08-04,0.03,1,,
128975,116,2019-06-13,1.18,5,,
131154,175,2019-07-07,1.79,1,,
132516,28,2019-07-01,1.21,3,,
132570,24,2017-12-26,0.25,1,,
132695,15,2016-06-06,0.15,1,,
133025,105,2019-06-06,1.07,1,,
134934,22,2019-05-30,0.38,1,,
135393,263,2019-06-24,2.69,2,,
135465,86,2019-06-20,0.91,2,,
135706,10,2017-01-01,0.1,1,,
136493,18,2019-05-27,0.21,1,,
138216,8,2018-07-08,0.21,1,,
139624,70,2019-01-31,0.73,1,,
140133,150,2019-07-05,1.55,1,,
140425,115,2017-05-25,1.18,1,,
140973,69,2019-05-26,0.71,1,,
141154,232,2019-06-22,2.41,1,,
141335,35,2018-01-13,0.41,1,,
141890,18,2013-10-01,0.21,1,,
141984,68,2019-06-10,0.69,1,,
142069,22,2014-11-10,0.23,1,,
144087,17,2019-05-18,0.17,1,,
144148,34,2016-01-05,0.58,1,,
145064,8,2014-06-06,0.08,1,,
145188,0,,,1,,
145994,2,2018-07-06,0.08,1,,
146754,52,2019-04-27,0.72,1,,
147586,74,2019-06-16,0.76,2,,
148201,18,2013-05-31,0.19,1,,
148259,72,2019-05-11,0.86,1,,
148825,191,2019-06-29,2.18,1,,
149287,0,,,1,,
149777,197,2019-06-23,2.49,1,,
150804,19,2019-07-06,0.2,1,,
151199,414,2019-07-03,4.34,1,,
151478,8,2018-12-11,0.09,4,,
152071,0,,,1,,
152078,25,2019-02-12,0.3,1,,
152259,119,2019-05-28,1.22,5,,
152263,203,2019-07-06,2.14,3,,
152520,53,2018-11-16,0.55,3,,
153405,104,2019-06-16,1.09,1,,
153780,175,2019-06-28,1.8,1,,
154934,38,2018-05-08,0.42,3,,
155296,39,2019-05-02,0.5,1,,
157673,88,2019-06-16,0.91,1,,
158061,27,2017-10-08,0.28,4,,
158176,117,2019-06-29,1.28,1,,
158290,43,2019-05-20,0.44,2,,
158913,4,2015-03-13,0.05,1,,
158955,385,2019-06-29,4,1,,
159749,64,2019-07-01,0.68,3,,
159815,39,2019-06-24,0.41,3,,
159913,37,2019-07-03,1.79,1,,
160609,10,2019-01-01,0.12,1,,
160994,103,2019-06-24,1.08,1,,
161366,41,2019-06-01,0.43,3,,
161394,3,2014-08-31,0.03,1,,
161996,227,2019-06-26,2.33,1,,
162493,37,2018-12-27,0.79,1,,
162508,29,2019-06-28,0.35,1,,
163627,205,2017-12-31,2.31,3,,
163809,42,2019-06-03,0.44,2,,
163814,280,2019-07-05,2.92,3,,
163836,86,2019-06-08,0.89,3,,
164989,54,2019-06-16,0.56,1,,
165080,7,2018-08-29,0.07,1,,
165461,57,2019-01-01,0.59,2,,
165824,31,2019-05-01,0.32,3,,
166006,188,2018-08-23,1.94,1,,
166172,480,2019-07-07,6.7,1,,
166541,34,2019-06-15,0.35,1,,
166983,6,2015-08-08,0.06,1,,
167013,3,2018-05-13,0.04,2,,
167017,2,2014-08-31,0.03,1,,
167222,20,2018-08-24,0.21,6,,
167482,129,2019-06-07,1.33,1,,
168084,147,2019-06-30,1.6,1,,
168123,101,2019-07-01,1.06,1,,
168546,11,2016-01-02,0.12,2,,
168810,11,2013-10-15,0.12,1,,
169002,41,2019-06-16,0.43,2,,
169152,87,2017-04-18,1.09,1,,
169306,117,2019-05-21,1.21,1,,
169464,86,2019-05-16,0.89,2,,
169483,0,,,2,,
170420,15,2016-02-15,0.16,1,,
170761,35,2019-07-02,0.55,2,,
171776,17,2015-10-01,0.18,2,,
172700,3,2016-02-15,0.04,2,,
172870,43,2018-01-03,0.47,2,,
173072,168,2019-07-06,4.6,1,,
173151,241,2019-06-24,2.49,1,,
173742,105,2019-06-23,1.13,1,,
174527,11,2018-10-28,0.46,1,,
174966,30,2018-05-05,0.33,11,,
176135,31,2018-10-23,0.32,1,,
176653,49,2019-05-07,0.51,2,,
176962,23,2019-04-13,0.24,1,,
177421,20,2019-06-24,0.21,2,,
177495,18,2019-06-24,0.9,1,,
177606,90,2019-06-23,0.95,1,,
179670,99,2019-06-27,1.04,1,,
179741,6,2019-06-28,0.06,3,,
180507,21,2018-12-01,0.22,8,,
180792,24,2019-04-04,0.26,8,,
181972,111,2019-06-02,1.17,1,,
182069,86,2019-06-20,0.91,1,,
182095,66,2019-04-29,0.69,2,,
182177,271,2019-06-20,2.84,2,,
182649,227,2019-06-18,2.4,1,,
185266,80,2019-07-06,1.55,1,,
187488,5,2018-12-03,0.07,1,,
187566,187,2019-06-10,1.97,2,,
187986,2,2015-08-28,0.02,1,,
188146,1,2016-01-01,0.02,1,,
188661,67,2018-10-20,0.7,1,,
188674,63,2018-01-12,0.68,1,,
189135,89,2019-07-01,1,1,,
189181,1,2014-04-20,0.02,1,,
189732,177,2019-06-29,1.86,1,,
189787,90,2019-06-30,0.94,1,,
190267,39,2019-07-07,0.41,1,,
190542,42,2019-05-18,0.44,1,,
190968,33,2019-05-08,0.35,1,,
190974,179,2019-05-29,2.02,1,,
191075,81,2019-03-28,0.85,2,,
193105,43,2019-06-29,0.45,2,,
193333,52,2018-10-31,0.54,1,,
193393,160,2019-06-25,1.68,1,,
193853,23,2018-05-21,0.27,2,,
194154,35,2017-06-18,0.37,1,,
195123,225,2019-06-12,2.35,1,,
195233,401,2019-07-04,6.62,2,,
195240,72,2019-06-17,0.84,2,,
195578,46,2018-12-30,0.97,1,,
195971,83,2019-06-23,1.19,1,,
195989,211,2019-06-15,2.21,2,,
196010,15,2015-06-14,0.16,1,,
197155,122,2019-06-23,1.29,1,,
197753,295,2019-06-12,3.9,2,,
197942,207,2019-07-07,2.18,1,,
199195,50,2019-03-30,0.65,2,,
199312,273,2019-06-24,2.85,1,,
200645,0,,,1,,
200955,25,2018-04-30,0.26,1,,
201992,105,2019-05-11,1.62,1,,
202273,72,2016-12-26,0.76,3,,
203901,8,2016-09-18,0.08,1,,
204065,58,2019-06-04,0.61,6,,
204833,8,2015-09-17,0.09,1,,
204959,172,2019-07-02,1.84,2,,
205043,330,2019-06-20,7.14,1,,
205485,123,2019-06-11,1.29,1,,
205735,55,2019-04-30,0.59,1,,
205867,87,2019-07-03,0.99,1,,
206071,258,2019-06-25,2.7,2,,
206316,4,2018-08-27,0.18,1,,
206772,31,2019-05-26,0.33,1,,
206957,128,2016-11-15,1.34,2,,
208148,14,2015-08-31,0.15,1,,
208889,30,2019-06-24,0.32,3,,
209310,258,2019-05-28,2.9,1,,
211078,228,2018-04-25,2.39,3,,
211974,60,2019-07-01,0.65,1,,
212109,9,2019-06-30,0.2,1,,
212178,179,2019-06-19,1.88,1,,
212544,9,2016-06-23,0.1,1,,
213272,1,2019-04-21,0.37,1,,
213330,25,2018-08-29,0.49,1,,
214917,2,2018-02-08,0.05,1,,
215560,152,2019-06-25,1.6,3,,
215784,24,2019-03-31,0.25,8,,
215907,45,2019-04-22,0.47,3,,
217580,7,2018-11-14,0.08,1,,
218358,19,2019-06-03,0.35,1,,
219066,24,2019-01-19,0.26,1,,
219482,8,2017-10-14,0.09,2,,
219793,29,2015-06-03,0.31,2,,
219818,14,2015-07-20,0.15,2,,
219922,33,2019-05-25,0.38,1,,
220351,99,2019-02-28,1.04,1,,
220563,59,2017-01-05,0.62,3,,
220946,142,2019-06-16,1.5,1,,
221043,0,,,1,,
221097,22,2019-03-15,0.23,1,,
221618,82,2019-05-21,0.87,2,,
222054,23,2018-09-15,0.24,6,,
222304,32,2019-05-08,0.34,1,,
223930,24,2019-06-23,0.25,1,,
224004,59,2018-10-26,0.63,2,,
224006,6,2015-01-02,0.08,2,,
224510,18,2018-07-05,0.21,1,,
225297,3,2018-12-26,0.03,1,,
225306,115,2019-07-05,1.21,3,,
225887,154,2019-06-19,1.63,2,,
225926,164,2019-07-01,1.73,11,,
225976,76,2019-06-13,0.8,1,,
